Date,Open,High,Low,Close,Volume,Adj Close,,,,
1/4/15,24955.2,25297.8,24926.11,25275.64,2963513800,25275.64,,,,
2/3/15,24996.76,25113.2,23677.06,24900.89,1779316100,24900.89,,,,
2/2/15,24347.27,25101.96,24226.29,24823.29,1453331700,24823.29,,,,
2/1/15,23699.2,24995.08,23312.5,24507.05,1948871100,24507.05,,,,
1/12/14,23678,24189.59,22529.75,23605.04,2588409900,23605.04,,,,
3/11/14,24133.45,24313.06,23252.63,23987.45,2012868900,23987.45,,,,
3/10/14,22691.59,24046.4,22565.6,23998.06,1640102300,23998.06,,,,
1/9/14,24703.74,25362.98,22855.04,22932.98,1783195400,22932.98,,,,
1/8/14,24594.23,25243.16,24190.93,24742.06,1419447500,24742.06,,,,
2/7/14,23326.53,24912.22,23126.68,24756.85,1529905500,24756.85,,,,
3/6/14,23327.51,23397.77,22802.1,23190.72,1478374400,23190.72,,,,
2/5/14,22194.66,23209.26,21680.33,23081.65,1500537800,23081.65,,,,
1/4/14,22292.32,23224.54,22096.95,22133.97,1691060000,22133.97,,,,
3/3/14,22630.77,22839.43,21137.61,22151.06,1817199000,22151.06,,,,
4/2/14,21561.7,22986.7,21197.78,22836.96,1802182000,22836.96,,,,
2/1/14,23452.76,23469.33,21746.23,22035.42,1745695800,22035.42,,,,
2/12/13,23936.15,24111.55,22713.7,23306.39,1391954200,23306.39,,,,
1/11/13,23208.8,24014.81,22463.4,23881.29,1652506400,23881.29,,,,
2/10/13,22997.21,23534.67,22640.18,23206.37,1452385900,23206.37,,,,
2/9/13,21948.72,23554.34,21948.72,22859.86,1816720500,22859.86,,,,
1/8/13,22025.75,22695.99,21465.72,21731.37,1552296900,21731.37,,,,
1/7/13,20803.29,22070.14,20119.56,21883.66,1506915800,21883.66,,,,
3/6/13,22301.68,22564.18,19426.36,20803.29,2392547600,20803.29,,,,
1/5/13,22737.01,23512.42,22290.72,22392.16,1592387100,22392.16,,,,
1/4/13,22299.63,22862.69,21423.25,22737.01,1525176900,22737.01,,,,
1/3/13,22957.09,23262.02,21975.9,22299.63,1932594600,22299.63,,,,
1/2/13,23763.34,23944.74,22445.34,23020.27,1557330600,23020.27,,,,
2/1/13,22860.25,23916.16,22860.25,23729.53,1753042300,23729.53,,,,
3/12/12,22070.44,22718.83,21687.88,22656.92,1500475500,22656.92,,,,
1/11/12,21573.93,22149.7,21098.41,22030.39,1441551100,22030.39,,,,
1/10/12,20840.38,21847.7,20767.36,21641.82,1593868900,21641.82,,,,
3/9/12,19414.62,20895.61,19076.79,20840.38,1735606300,20840.38,,,,
1/8/12,19646.96,20300.03,19450.77,19482.57,1305904900,19482.57,,,,
2/7/12,19441.46,19869.11,18710.59,19796.81,1433367200,19796.81,,,,
1/6/12,18498.91,19578.82,18056.4,19441.46,1650371100,19441.46,,,,
2/5/12,21245.48,21385.3,18378.14,18629.52,2225198200,18629.52,,,,
2/4/12,20662.97,21105.57,20035.68,21094.21,1616989900,21094.21,,,,
1/3/12,21578.19,21641.14,20374.03,20555.58,1723090500,20555.58,,,,
1/2/12,20394.67,21760.34,20269.51,21680.08,1720332000,21680.08,,,,
3/1/12,18770.64,20590.8,18302.84,20390.49,1854060000,20390.49,,,,
1/12/11,19033.96,19242.8,17821.52,18434.39,1452402100,18434.39,,,,
1/11/11,19461.08,20173.14,17613.2,17989.35,2117359700,17989.35,,,,
3/10/11,17179.2,20272.38,16170.35,19864.87,2298894000,19864.87,,,,
1/9/11,20790.22,20975.3,16999.54,17592.41,2334174000,17592.41,,,,
1/8/11,22739.55,22808.33,18868.11,20534.85,2621420000,20534.85,,,,
4/7/11,22813.25,22835.03,21611.16,22440.25,1999129500,22440.25,,,,
1/6/11,23686.77,23706,21508.77,22398.1,1745792200,22398.1,,,,
2/5/11,23720.81,23924.48,22519.66,23684.13,1289308800,23684.13,,,,
1/4/11,23664.48,24468.64,23468.2,23720.81,1457782400,23720.81,,,,
1/3/11,23317.96,23934.07,22123.26,23527.52,1906962900,23527.52,,,,
1/2/11,23451.62,23981.74,22446.67,23338.02,1643417500,23338.02,,,,
3/1/11,23135.64,24434.4,23057.52,23447.34,1481309200,23447.34,,,,
1/12/10,22973.8,23612.25,22392.67,23035.45,1207300000,23035.45,,,,
1/11/10,23366.82,24988.57,22782.98,23007.99,1944897000,23007.99,,,,
4/10/10,22542.36,23866.87,22504.05,23096.32,2237593700,23096.32,,,,
1/9/10,20570.52,22439.19,20529.87,22358.17,1592809100,22358.17,,,,
2/8/10,21221.43,21805.94,20372.29,20536.49,1270031400,20536.49,,,,
1/7/10,20128.99,21199.55,19777.83,21029.81,1270317300,21029.81,,,,
1/6/10,19600.57,20957.09,19211.67,20128.99,1406631100,20128.99,,,,
3/5/10,20799.79,21011.95,18971.52,19765.19,1771415700,19765.19,,,,
1/4/10,21390.89,22388.77,20763.34,21108.59,1722752500,21108.59,,,,
1/3/10,20853.08,21450.98,20575.78,21239.35,1739336000,21239.35,,,,
1/2/10,19987.67,20780.5,19423.05,20608.7,1432794400,20608.7,,,,
4/1/10,21860.04,22671.92,19916.34,20121.99,2183563400,20121.99,,,,
1/12/09,21813.42,22593.72,20932.77,21872.5,1292214400,21872.5,,,,
2/11/09,21194.12,23099.57,21002.49,21821.5,1746149100,21821.5,,,,
1/10/09,20955.25,22620.01,20305.06,21752.87,1688759900,21752.87,,,,
1/9/09,19961.74,21929.79,19425.86,20955.25,1776143300,20955.25,,,,
3/8/09,20582.68,21196.75,19592.07,19724.19,2131808800,19724.19,,,,
2/7/09,18780.96,20712.66,17185.96,20573.33,2125622400,20573.33,,,,
1/6/09,18499.92,19161.97,17375.96,18378.73,2933420100,18378.73,,,,
1/5/09,15520.99,18227.79,15520.99,18171,3010386300,18171,,,,
1/4/09,13746.18,15977.13,13411.79,15520.99,2721382900,15520.99,,,,
2/3/09,12522.61,14257.56,11344.58,13576.02,2833493200,13576.02,,,,
2/2/09,13194,13976.31,12634.84,12811.57,2202790100,12811.57,,,,
2/1/09,14448.22,15763.55,12439.13,13278.21,3488685800,13278.21,,,,
1/12/08,13775.28,15781.05,13344.6,14387.48,1946238200,14387.48,,,,
